en,th
backup,แบ็กอัป
jazz,แจซ
jazz,แจซ
super,ซูเปอร์
super,ซูเปอร์
planet,แพลเนต
planet,แพลเนต
flare,แฟลร์
flare,แฟลร์
web page,เว็บเพจ
web page,เว็บเพจ
xerox,ซีรอกซ์
xerox,ซีรอกซ์
flow,โฟลว์
flow,โฟลว์
channel,แชนเนิล
channel,แชนเนล
channel,แชนเนิล
channel,แชนเนล
seals,ซีลส์
seals,ซีลส์
pitching wedge,พิตชิงเวดจ์
pitching wedge,พิตชิงเวดจ์
supermarket,ซูเปอร์มาร์เกต
supermarket,ซูเปอร์มาร์เก็ต
supermarket,ซูเปอร์มาร์เกต
supermarket,ซูเปอร์มาร์เก็ต
polymer,พอลิเมอร์
polymer,พอลิเมอร์
history,ฮิสทรี
history,ฮิสทรี
sun,ซัน
sun,ซัน
world,เวิลด์
world,เวิลด์
optisorb,ออปติซอร์บ
optisorb,ออปติซอร์บ
broccoli,บรอกโคลี
broccoli,บรอกโคลี
waffle,วอฟเฟิล
waffle,วอฟเฟิล
homestay,โฮมสเตย์
homestay,โฮมสเตย์
sandwich,แซนด์วิช
sandwich,แซนด์วิช
blueberry,บลูเบอร์รี
blueberry,บลูเบร์รี
blueberry,บลูเบอร์รี
blueberry,บลูเบร์รี
croissant,ครัวซองต์
croissant,ครัวซองต์
apple,แอปเปิล
apple,แอปเปิล
puff,พัฟ
puff,พัฟ
heart,ฮาร์ต
heart,ฮาร์ต
stage,สเตจ
stage,สเตจ
box,บอกซ์
box,บ็อกซ์
box,บอกซ์
box,บ็อกซ์
gift,กิฟต์
gift,กิฟต์
kick,คิก
kick,คิก
boxing,บอกซิง
boxing,บ็อกซิง
boxing,บอกซิง
boxing,บ็อกซิง
fiber,ไฟเบอร์
fiber,ไฟเบอร์
bond,บอนด์
bond,บอนด์
merge,เมิร์จ
merge,เมิร์จ
time,ไทม์
time,ไทม์
classic,คลาสสิก
classic,คลาสสิก
peach,พีช
peach,พีช
pluot,พลูออต
pluot,พลูออต
launcher,ลอนเชอร์
launcher,ลอนเชอร์
switch,สวิตช์
switch,สวิตช์
robot,โรบอต
robot,โรบ็อต
robot,โรบอต
robot,โรบ็อต
surprise,เซอร์ไพรส์
surprise,เซอร์ไพรส์
townhouse,ทาวน์เฮาส์
townhouse,ทาวน์เฮาส์
tourist,ทัวริสต์
tourist,ทัวริสต์
lecture,เล็กเชอร์
lecture,เล็กเชอร์
shortnote,ชอร์ตโน้ต
shortnote,ชอร์ตโน้ต
oxygen,ออกซิเจน
oxygen,ออกซิเจน
relax,รีแลกซ์
relax,รีแลกซ์
buffet,บุฟเฟต์
buffet,บุฟเฟต์
a la carte,อาลาการ์ต
a la carte,อาลาการ์ต
lift,ลิฟต์
lift,ลิฟต์
pick,พิก
pick,พิก
lock,ล็็อก
lock,ล็อก
message,เมสเซจ
message,เมสเซจ
sourcream,ซาวร์ครีม
sourcream,ซาวร์ครีม
angel,เอนเจิล
angel,เอนเจล
angel,เอนเจิล
angel,เอนเจล
fruit salad,ฟรุตสลัด
fruit salad,ฟรุตสลัด
discotheque,ดิสโกเทก
discotheque,ดิสโกเทก
compact disc,คอมแพกต์ดิสก์
compact disc,คอมแพกต์ดิสก์
raspberry,ราสป์เบอร์รี
raspberry,แรสป์เบร์รี
raspberry,ราสป์เบอร์รี
raspberry,แรสป์เบร์รี
dance,แดนซ์
dance,ดานซ์
dance,แดนซ์
dance,ดานซ์
dancer,แดนเซอร์
dancer,ดานเซอร์
dancer,แดนเซอร์
dancer,ดานเซอร์
headphone,เฮดโฟน
headphone,เฮดโฟน
wrist,ริสต์
wrist,ริสต์
jump,จััมป์
jump,จัมป์
twist,ทวิสต์
twist,ทวิสต์
break dance,เบรกแดนซ์
break dance,เบรกดานซ์
break dance,เบรกแดนซ์
break dance,เบรกดานซ์
floor,ฟลอร์
floor,ฟลอร์
hip hop,ฮิปฮอป
hip hop,ฮิปฮอป
rap,แรป
rap,แรป
superstar,ซูเปอร์สตาร์
superstar,ซูเปอร์สตาร์
spin out,สปินเอาต์
spin out,สปินเอาต์
headstand,เฮดสแตนด์
headstand,เฮดสแตนด์
bling ring,บลิงริง
bling ring,บลิงริง
belt,เบลต์
belt,เบลต์
bag,แบ็ก
bag,แบ็ก
sac,แซ็ก
sac,แซ็ก
chat,แชต
chat,แช็ต
chat,แชต
chat,แช็ต
team work,ทีมเวิร์ก
team work,ทีมเวิร์ก
knock out,น็อกเอาต์
knock out,น็อกเอาต์
floor exercise,ฟลอร์เอ็กเซอร์ไซส์
floor exercise,ฟลอร์เอ็กเซอร์ไซส์
technical knock out,เทคนิเกิลน็อกเอาต์
technical knock out,เทคนิเกิลน็อกเอาต์
ice skate,ไอซ์สเกต
ice skate,ไอซ์สเกต
persentation,พรีเซนเทชัน
persentation,พรีเซนเทชัน
golf,กอล์ฟ
golf,กอล์ฟ
fax,แฟกซ์
fax,แฟกซ์
access,แอกเซส
access,แอกเซส
portfolio,พอร์ตโฟลิโอ
portfolio,พอร์ตโฟลิโอ
buffer,บัฟเฟอร์
buffer,บัฟเฟอร์
fix,ฟิกซ์
fix,ฟิกซ์
vitality,ไวแทลิตี
vitality,ไวแทลิตี
boot,บูต
boot,บูต
feedback,ฟีดแบ็ก
feedback,ฟีดแบ็ก
ultimate,อัลติเมต
ultimate,อัลติเมต
outcome,เอาต์คัม
outcome,เอาต์คัม
good,กูด
good,กูด
governance,กัฟเวอร์แนนซ์
governance,กัฟเวอร์แนนซ์
traffic,แทรฟฟิก
traffic,แทรฟฟิก
stuntman,สตันต์แมน
stuntman,สตันต์แมน
triglyceride,ไทรกลีเซอไรด์
triglyceride,ไทรกลีเซอไรด์
alkanolamines,แอลคานอแลมีนส์
alkanolamines,แอลคานอแลมีนส์
benzene,เบนซีน
benzene,เบนซีน
raccoon,แร็กคูน
raccoon,แร็กคูน
gerbera,เจอร์เบรา
gerbera,เจอร์เบรา
family,แฟมิลี
family,แฟมิลี
polyester,โพลีเอสเตอร์
polyester,โพลีเอสเตอร์
robusta,โรบัสตา
robusta,โรบัสตา
arabica,อะราบิกา
arabica,อาแรบิกา
arabica,อะราบิกา
arabica,อาแรบิกา
hero,ฮีโร
hero,ฮีโร
Aluminium,อะลูมิเนียม
Aluminium,อะลูมิเนียม
Bohrium,โบห์เรียม
Bohrium,โบห์เรียม
Darmstadtium,ดาร์มสตัดเทียม
Darmstadtium,ดาร์มสตัดเทียม
Dubnium,ดุบเนียม
Dubnium,ดุบเนียม
Hassium,ฮัสเซียม
Hassium,ฮัสเซียม
Meitnerium,ไมต์เนเรียม
Meitnerium,ไมต์เนเรียม
Neon,นีออน
Neon,นีออน
Nickel,นิกเกิล
Nickel,นิกเกิล
Roentgenium,เรินต์เกเนียม
Roentgenium,เรินต์เกเนียม
Seaborgium,ซีบอร์เกียม
Seaborgium,ซีบอร์เกียม
Vanadium,วาเนเดียม
Vanadium,วาเนเดียม
Antimony,พลวง
Antimony,พลวง
Arsenic,สารหนู
Arsenic,สารหนู
Copper,ทองแดง
Copper,คอปเปอร์
Copper,ทองแดง
Copper,คอปเปอร์
gold,โกลด์
gold,โกลด์
Lithium,ลิเทียม
Lithium,ลิเทียม
Mercury,ปรอท
Mercury,ปรอท
Silver,เงิน
Silver,ซิลเวอร์
Silver,เงิน
Silver,ซิลเวอร์
Sulphur,กำมะถัน
Sulphur,ซัลเฟอร์
Sulphur,กำมะถัน
Sulphur,ซัลเฟอร์
Tin,ดีบุก
Tin,ดีบุก
Tin,ทิน
Zinc,สังกะสี
Zinc,ซิงก์
Zinc,สังกะสี
Zinc,ซิงก์
acanthite,อาแคนไทต์
acanthite,อาแคนไทต์
achroite,อะโครไอต์
achroite,อะโครไอต์
acmite,แอกไมต์
acmite,แอกไมต์
actinolite,แอกทิโนไลต์
actinolite,แอกทิโนไลต์
adamite,แอดาไมต์
adamite,แอดาไมต์
adularia,อะดูลาเรีย
adularia,อะดูลาเรีย
aegirite,อีจิรีน
aegirite,อีจิรีน
aegirite,อีจิไรต์
aegirite,อีจิไรต์
agalmatolite,อะกัลมาโทไลต์
agalmatolite,อะกัลมาโทไลต์
agate,อะเกต
agate,อะเกต
alabandite,อะลาแบนไดต์
alabandite,อะลาแบนไดต์
alabaster,อะลาบาสเตอร์
alabaster,อะลาบาสเตอร์
albite,แอลไบต์
albite,แอลไบต์
alexandrite,อะเลกซานไดรต์
alexandrite,อะเลกซานไดรต์
allanite,แอลลาไนต์
allanite,แอลลาไนต์
allophane,แอลโลเฟน
allophane,แอลโลเฟน
almandine,แอลมันดัน
almandine,แอลมันดีน
almandite,แอลมันไดต์
almandite,แอลมันไดต์
alum,อะลัม
alum,อะลัม
alunite,อะลูไนต์
alunite,อะลูไนต์
amazon stone,amazonstone
amazon stone,แอมะซอนสโตน
amazon stone,แอมะซอนสโตน
amazonite,แอมะซอไนต์
amazonite,แอมะซอไนต์
amblygonite,แอมบลิโกไนต์
amblygonite,แอมบลิโกไนต์
amethyst,แอเมทิสต์
amethyst,แอเมทิสต์
amosite,เอโมไซต์
amosite,เอโมไซต์
amphibole,แอมฟิโบล
amphibole,แอมฟิโบล
analcime,อะนาลไซม์
analcime,อะนาลไซม์
analcite,อะนาลไซต์
analcite,อะนาลไซต์
anapaite,แอนาพาไอต์
anapaite,แอนาพาไอต์
anatase,อะนาเทส
anatase,อะนาเทส
anauxite,แอนอกไซต์
anauxite,แอนอกไซต์
andalusite,แอนดาลูไซต์
andalusite,แอนดาลูไซต์
andersonite,แอนเดอร์ซอไนต์
andersonite,แอนเดอร์ซอไนต์
andesine,แอนดีซีน
andesine,แอนดีซีน
andradite,แอนดราไดต์
andradite,แอนดราไดต์
angelite,แอนเจไลต์
angelite,แอนเจไลต์
anglesite,แองกลีไซต์
anglesite,แองกลีไซต์
anhydrite,แอนไฮไดรต์
anhydrite,แอนไฮไดรต์
ankerite,แองเคอไรต์
ankerite,แองเคอไรต์
annabergite,แอนนาเบอร์ไกต์
annabergite,แอนนาเบอร์ไกต์
anorthite,อะนอร์ไทต์
anorthite,อะนอร์ไทต์
anorthoclase,อะนอร์โทเคลส
anorthoclase,อะนอร์โทเคลส
anthophyllite,แอนโทฟิลไลต์
anthophyllite,แอนโทฟิลไลต์
antigorite,แอนทิโกไรต์
antigorite,แอนทิโกไรต์
antimony,แอนทิโมนี
antimony,พลวง
antimony,แอนทิโมนี
antimony,พลวง
antiperthite,แอนทิเพอร์ไทต์
antiperthite,แอนทิเพอร์ไทต์
antlerite,แอนเทิลไรต์
antlerite,แอนเทิลไรต์
anyolite,แอนโยไลต์
anyolite,แอนโยไลต์
apatite,อะพาไทต์
apatite,อะพาไทต์
aphthitalite,แอฟทิทาไลต์
aphthitalite,แอฟทิทาไลต์
apophyllite,อะโพฟิลไลต์
apophyllite,อะโพฟิลไลต์
aquamarine,อะความารีน
aquamarine,อะความารีน
aragonite,อะราโกไนต์
aragonite,อะราโกไนต์
arcanite,อาร์แคไนต์
arcanite,อาร์แคไนต์
arfvedsonite,อาร์ฟเวดโซไนต์
arfvedsonite,อาร์ฟเวดโซไนต์
argentite,อาร์เจนไทต์
argentite,อาร์เจนไทต์
argentopyrite,อาร์เจนโทไพไรต์
argentopyrite,อาร์เจนโทไพไรต์
argyrodite,อาร์จิโรไดต์
argyrodite,อาร์จิโรไดต์
arsenic,อาร์เซนิก
arsenic,อาร์เซนิก
arsenic,สารหนู
arsenolite,อาร์เซโนไลต์
arsenolite,อาร์เซโนไลต์
arsenopyrite,อาร์เซโนไพไรต์
arsenopyrite,อาร์เซโนไพไรต์
arsentsumebite,อาร์เซนต์ซูเมไบต์
arsentsumebite,อาร์เซนต์ซูเมไบต์
arthurite,อาร์เทอไรต์
arthurite,อาร์เทอไรต์
artinite,อาร์ทิไนต์
artinite,อาร์ทิไนต์
asbestos,แอสเบสทอส
asbestos,แอสเบสทอส
astrophyllite,แอสโทรฟิลไลต์
astrophyllite,แอสโทรฟิลไลต์
atacamite,อะทาคาไมต์
atacamite,อะทาคาไมต์
attapulgite,แอตทาพุลไกต์
attapulgite,แอตทาพุลไกต์
augelite,ออเจไลต์
augelite,ออเจไลต์
augite,ออไจต์
augite,ออไจต์
aurichalcite,ออริคาลไซต์
aurichalcite,ออริคาลไซต์
austinite,ออสทิไนต์
austinite,ออสทิไนต์
autunite,ออทูไนต์
autunite,ออทูไนต์
aventurine,อะเวนจูรีน
aventurine,อะเวนจูรีน
axinite,แอกซิไนต์
axinite,แอกซิไนต์
azoproite,อะโซโพรไอต์
azoproite,อะโซโพรไอต์
azurite,อะซูไรต์
azurite,อะซูไรต์
azurmalachite,อะซูร์มาลาไคต์
azurmalachite,อะซูร์มาลาไคต์
babingtonite,แบบิงทอไนต์
babingtonite,แบบิงทอไนต์
baddeleyite,แบดเดเลย์ไอต์
baddeleyite,แบดเดเลย์ไอต์
bakerite,เบเคอไรต์
bakerite,เบเคอไรต์
baratovite,แบราโทไวต์
baratovite,แบราโทไวต์
barite,แบไรต์
barite,แบไรต์
barkevikite,บาร์คีวิไคต์
barkevikite,บาร์คีวิไคต์
bassanite,แบสซอไนต์
bassanite,แบสซอไนต์
bastite,บัสไทต์
bastite,บัสไทต์
bastnaesite,บาสต์เนไซต์
bastnaesite,บาสต์เนไซต์
bauxite,บ็อกไซต์
bauxite,บ็อกไซต์
bayldonite,เบย์ลโดไนต์
bayldonite,เบย์ลโดไนต์
beidellite,ไบเดลไลต์
beidellite,ไบเดลไลต์
bementite,บิเมนไทต์
bementite,บิเมนไทต์
benitoite,เบนิโทไอต์
benitoite,เบนิโทไอต์
benstonite,เบนสตอไนต์
benstonite,เบนสตอไนต์
berlinite,เบอร์ลิไนต์
berlinite,เบอร์ลิไนต์
berthierite,เบอร์ทิไรต์
berthierite,เบอร์ทิไรต์
bertrandite,เบอร์แทรนไดต์
bertrandite,เบอร์แทรนไดต์
beryl,เบริล
beryl,เบริล
beryllonite,เบริลโลไนต์
beryllonite,เบริลโลไนต์
betafite,บีทาไฟต์
betafite,บีทาไฟต์
beudantite,เบอร์เดนไทต์
beudantite,เบอร์เดนไทต์
bikitaite,บิกิทาไอต์
bikitaite,บิกิทาไอต์
bindheimite,บินด์ไฮไมต์
bindheimite,บินด์ไฮไมต์
biotite,ไบโอไทต์
biotite,ไบโอไทต์
birnessite,เบอร์เนสไซต์
birnessite,เบอร์เนสไซต์
bismuth,บิสมัท
bismuth,บิสมัท
bismutite,บิสมูไทต์
bismutite,บิสมูไทต์
bismuthinite,บิสมูทิไนต์
bismuthinite,บิสมูทิไนต์
bixbite,บิกซ์ไบต์
bixbite,บิกซ์ไบต์
blende,เบลนด์
blende,เบลนด์
bloodstone,บลัดสโตน
bloodstone,บลัดสโตน
boehmite,เบอห์ไมต์
boehmite,เบอห์ไมต์
boleite,โบลีไอต์
boleite,โบลีไอต์
boltwoodite,โบลต์วูไดต์
boltwoodite,โบลต์วูไดต์
boracite,บอราไซต์
boracite,บอราไซต์
borax,บอแรกซ์
borax,บอแรกซ์
bornite,บอร์ไนต์
bornite,บอร์ไนต์
boulangerite,บูแลนเจอไรต์
boulangerite,บูแลนเจอไรต์
bournonite,บอร์โนไนต์
bournonite,บอร์โนไนต์
bowenite,โบวีไนต์
bowenite,โบวีไนต์
bowlingite,โบว์ลินไกต์
bowlingite,โบว์ลินไกต์
brannerite,แบรนเนอไรต์
brannerite,แบรนเนอไรต์
braunite,เบราไนต์
braunite,เบราไนต์
bravoite,บราวอยต์
bravoite,บราวอยต์
brazilianite,บราซิเลียไนต์
brazilianite,บราซิเลียไนต์
brochantite,โบรเชนไทต์
brochantite,โบรเชนไทต์
bromargyrite,โบรมาร์จิไรต์
bromargyrite,โบรมาร์จิไรต์
bronzite,บรอนไซต์
bronzite,บรอนไซต์
brookite,บรูไคต์
brookite,บรูไคต์
brucite,บรูไซต์
brucite,บรูไซต์
buergerite,เบอร์เกอไรต์
buergerite,เบอร์เกอไรต์
burbankite,เบอร์แบนไคต์
burbankite,เบอร์แบนไคต์
burkeite,เบอร์ไคต์
burkeite,เบอร์ไคต์
buttgenbachite,บุตต์เจนแบไคต์
buttgenbachite,บุตต์เจนแบไคต์
bytownite,ไบโทว์ไนต์
bytownite,ไบโทว์ไนต์
cacoxenite,แคโคซีไนต์
cacoxenite,แคโคซีไนต์
cahnite,คาห์ไนต์
cahnite,คาห์ไนต์
cairngorm,แคร์นกอร์ม
cairngorm,แคร์นกอร์ม
calamine,คาลาไมน์
calamine,คาลาไมน์
calaverite,แคลาเวอไรต์
calaverite,แคลาเวอไรต์
calcite,แคลไซต์
calcite,แคลไซต์
caledonite,แคลิโดไนต์
caledonite,แคลิโดไนต์
californite,แคลิฟอร์ไนต์
californite,แคลิฟอร์ไนต์
calomel,คาโลเมล
calomel,คาโลเมล
cancrinite,แคนคริไนต์
cancrinite,แคนคริไนต์
carletonite,คาร์เลทอไนต์
carletonite,คาร์เลทอไนต์
carnallite,คาร์นัลไลต์
carnallite,คาร์นัลไลต์
carnelian,คาร์เนเลียน
carnelian,คาร์เนเลียน
carnotite,คาร์โนไทต์
carnotite,คาร์โนไทต์
cassiterite,แคสซิเทอไรต์
cassiterite,แคสซิเทอไรต์
cavansite,แคแวนไซต์
cavansite,แคแวนไซต์
celadonite,เซลาโดไนต์
celadonite,เซลาโดไนต์
celestite,เซเลสไทต์
celestite,เซเลสไทต์
cerargyrite,เซราร์จีไรต์
cerargyrite,เซราร์จีไรต์
cerite,ซีไรต์
cerite,ซีไรต์
cerussite,เซรัสไซต์
cerussite,เซรัสไซต์
ceylonite,ซีลอไนต์
ceylonite,ซีลอไนต์
chabasite,แคบาไซต์
chabasite,แคบาไซต์
chaistolite,ไคสโทไลต์
chaistolite,ไคสโทไลต์
chalcanthite,คาลแคนไทต์
chalcanthite,คาลแคนไทต์
chalcedony,คาลซิโดนี
chalcedony,คาลซิโดนี
chalcocite,คาลโคไซต์
chalcocite,คาลโคไซต์
chalcophanite,คาลโคฟาไนต์
chalcophanite,คาลโคฟาไนต์
chalcophyllite,คาลโคฟิลไลต์
chalcophyllite,คาลโคฟิลไลต์
chalcopyrite,คาลโคไพไรต์
chalcopyrite,คาลโคไพไรต์
chalcosiderie,คาลโคซิเดอไรต์
chalcosiderie,คาลโคซิเดอไรต์
chalybite,คาลีไบต์
chalybite,คาลีไบต์
charoite,ชาโรไอต์
charoite,ชาโรไอต์
chengdeite,เชงเดไอต์
chengdeite,เชงเดไอต์
chert,เชิร์ต
chert,เชิร์ต
chessylite,เชสซิไลต์
chessylite,เชสซิไลต์
chiastolite,ไคแอสโทไลต์
chiastolite,ไคแอสโทไลต์
childrenite,ชิลเดรไนต์
childrenite,ชิลเดรไนต์
chiolite,ไคโอไลต์
chiolite,ไคโอไลต์
chloanthite,คลอแอนไทต์
chloanthite,คลอแอนไทต์
chlorapatite,คลอราพาไทต์
chlorapatite,คลอราพาไทต์
chlorargyrite,คลอราร์จิไรต์
chlorargyrite,คลอราร์จิไรต์
chlorastrolite,คลอแรสโทไรต์
chlorastrolite,คลอแรสโทไรต์
chlorite,คลอไรต์
chlorite,คลอไรต์
chloritoid,คลอริทอยด์
chloritoid,คลอริทอยด์
chondrodite,คอนโดรไดต์
chondrodite,คอนโดรไดต์
chromite,โครไมต์
chromite,โครไมต์
chrysoberyl,คริโซเบริล
chrysoberyl,คริโซเบริล
chrysocolla,คริโซคอลลา
chrysocolla,คริโซคอลลา
chrysolite,คริโซไลต์
chrysolite,คริโซไลต์
chrysoprase,คริโซเพรส
chrysoprase,คริโซเพรส
chrysotile,คริโซไทล์
chrysotile,คริโซไทล์
churchite,เชอร์ไชต์
churchite,เชอร์ไชต์
cinnabar,ซินนาบาร์
cinnabar,ซินนาบาร์
citrine,ซิทริน
citrine,ซิทริน
cleavelandite,คลีฟแลนไดต์
cleavelandite,คลีฟแลนไดต์
cliffordite,คลิฟฟอร์ไดต์
cliffordite,คลิฟฟอร์ไดต์
clinochlore,ไคลโนคลอร์
clinochlore,ไคลโนคลอร์
clinoclase,ไคลโนเคลส
clinoclase,ไคลโนเคลส
clinoenstatite,ไคลโนเอนสตาไทต์
clinoenstatite,ไคลโนเอนสตาไทต์
clinohrdrite,ไคลโนฮีไดรต์
clinohrdrite,ไคลโนฮีไดรต์
clinohumite,ไคลโนฮิวไมต์
clinohumite,ไคลโนฮิวไมต์
clinoptilolite,ไคลนอปไทโลไลต์
clinoptilolite,ไคลนอปไทโลไลต์
clinozoisite,ไคลโนซอยไซต์
clinozoisite,ไคลโนซอยไซต์
cobaltite,โคบอลไทต์
cobaltite,โคบอลไทต์
coesite,โคไซต์
coesite,โคไซต์
colemanite,โคลมาไนต์
colemanite,โคลมาไนต์
colemanite,โคลแมนไอต์
colemanite,โคลแมนไอต์
collinsite,คอลลินไซต์
collinsite,คอลลินไซต์
collophane,คอลโลเฟน
collophane,คอลโลเฟน
collophanite,คอลโลฟาไนต์
collophanite,คอลโลฟาไนต์
columbite,โคลัมไบต์
columbite,โคลัมไบต์
conichalcite,โคนิคาลไซต์
conichalcite,โคนิคาลไซต์
connellite,คอนเนลไลต์
connellite,คอนเนลไลต์
cookeite,คูไกต์
cookeite,คูไกต์
copper,ทองแดง
copper,คอปเปอร์
copper,ทองแดง
copper,คอปเปอร์
cordierite,คอร์เดียไรต์
cordierite,คอร์เดียไรต์
cornetite,คอร์เนไทต์
cornetite,คอร์เนไทต์
cornwallite,คอร์นวอลไลต์
cornwallite,คอร์นวอลไลต์
coronadite,คอโรนาไดต์
coronadite,คอโรนาไดต์
corundum,คอรันดัม
corundum,คอรันดัม
covellite,โคเวลไลต์
covellite,โคเวลไลต์
crandallite,แครนดาลไลต์
crandallite,แครนดาลไลต์
creedite,ครีไดต์
creedite,ครีไดต์
cristobalite,คริสโทบาไลต์
cristobalite,คริสโทบาไลต์
crocidolite,โครซิโดไลต์
crocidolite,โครซิโดไลต์
crocoite,โครคอยต์
crocoite,โครคอยต์
cryolite,ไครโอไลต์
cryolite,ไครโอไลต์
cryptomelane,คริปทอมีเลน
cryptomelane,คริปทอมีเลน
cubanite,คิวบาไนต์
cubanite,คิวบาไนต์
cumengeite,cumengite
cumengeite,คูเมนไจต์
cumengeite,คูเมนไจต์
cummingtonite,คัมมิงโทไนต์
cummingtonite,คัมมิงโทไนต์
cuprite,คิวไพรต์
cuprite,คิวไพรต์
cyanite,ไซยาไนต์
cyanite,ไซยาไนต์
cyanotrichite,ไซยาโนทริไคต์
cyanotrichite,ไซยาโนทริไคต์
cylindrite,ไซลินไดรต์
cylindrite,ไซลินไดรต์
cymophane,ไซโมเฟน
cymophane,ไซโมเฟน
danburite,แดนบูไรต์
danburite,แดนบูไรต์
darapskite,แดแรปสไกต์
darapskite,แดแรปสไกต์
datolite,ดาโทไลต์
datolite,ดาโทไลต์
dawsonite,ดอว์ซอไนต์
dawsonite,ดอว์ซอไนต์
demantoid,ดีมันทอยด์
demantoid,ดีมันทอยด์
diaboleite,ไดอะโบลีไอต์
diaboleite,ไดอะโบลีไอต์
diamond,เพชร
diamond,เพชร
diamond,ไดอามอนด์
diamond,ไดมอนด์
diaspore,ไดอะสปอร์
diaspore,ไดอะสปอร์
dichroite,ไดครอยต์
dichroite,ไดครอยต์
dickite,ดิกไคต์
dickite,ดิกไคต์
dietzeite,ดีต์ไซต์
dietzeite,ดีต์ไซต์
digenite,ไดเจไนต์
digenite,ไดเจไนต์
diopside,ไดออปไซด์
diopside,ไดออปไซด์
dioptase,ไดออปเทส
dioptase,ไดออปเทส
dolomite,โดโลไมต์
dolomite,โดโลไมต์
domeykite,โดเมย์ไคต์
domeykite,โดเมย์ไคต์
dravite,ดราไวต์
dravite,ดราไวต์
dufrenite,ดูเฟรไนต์
dufrenite,ดูเฟรไนต์
duftite,ดุฟไทต์
duftite,ดุฟไทต์
dumortierite,ดูมอร์เทอไรต์
dumortierite,ดูมอร์เทอไรต์
dundasite,ดันแดไซต์
dundasite,ดันแดไซต์
dyscrasite,ดิสเครไซต์
dyscrasite,ดิสเครไซต์
dysprosium,ดิสโพรเซียม
dysprosium,ดิสโพรเซียม
edenite,อีเดไนต์
edenite,อีเดไนต์
edingtonite,เอดิงโทไนต์
edingtonite,เอดิงโทไนต์
ekmanite,เอกมาไนต์
ekmanite,เอกมาไนต์
elbaite,เอลเบไอต์
elbaite,เอลเบไอต์
electrum,อีเลกทรัม
electrum,อีเลกทรัม
elpidite,เอลพิไดต์
elpidite,เอลพิไดต์
embolite,เอมโบไลต์
embolite,เอมโบไลต์
emerald,มรกต
emerald,เอเมอรัลด์
emerald,มรกต
emerald,เอเมอรัลด์
emery,เอเมอรี
emery,เอเมอรี
emmonsite,เอมมอนไซต์
emmonsite,เอมมอนไซต์
emplectite,เอมเพลกไทต์
emplectite,เอมเพลกไทต์
enargite,อีนาร์ไกต์
enargite,อีนาร์ไกต์
enstatite,เอนสตาไทต์
enstatite,เอนสตาไทต์
eosphorite,อีโอสฟอไรต์
eosphorite,อีโอสฟอไรต์
ephesite,เอฟีไซต์
ephesite,เอฟีไซต์
epididymite,เอพิดิดิไมต์
epididymite,เอพิดิดิไมต์
epidote,เอพิโดต
epidote,เอพิโดต
epistilbite,เอพิสติลไบต์
epistilbite,เอพิสติลไบต์
epistolite,เอพิสโตไลต์
epistolite,เอพิสโตไลต์
epsomite,เอปซอไมต์
epsomite,เอปซอไมต์
erionite,อีริโอไนต์
erionite,อีริโอไนต์
erythrite,อีริไทรต์
erythrite,อีริไทรต์
ettringite,เอต์ทรินไกต์
ettringite,เอต์ทรินไกต์
euclase,ยูเคลส
euclase,ยูเคลส
eucryptite,ยูคริปไทต์
eucryptite,ยูคริปไทต์
eudialite,eudialyte
eudialite,ยูเดียไลต์
eudialite,ยูเดียไลต์
eudidymite,ยูดิดิไมต์
eudidymite,ยูดิดิไมต์
euxenite,ยูซีไนต์
euxenite,ยูซีไนต์
faujasite,เฟาจาไซต์
faujasite,เฟาจาไซต์
fayalite,ฟายาไลต์
fayalite,ฟายาไลต์
feldspar,เฟลด์สปาร์
feldspar,เฟลด์สปาร์
feldspathoid,เฟลด์สปาทอยด์
feldspathoid,เฟลด์สปาทอยด์
ferberite,เฟอร์เบอไรต์
ferberite,เฟอร์เบอไรต์
fergusonite,เฟอร์กูซอไนต์
fergusonite,เฟอร์กูซอไนต์
ferrite,เฟอร์ไรต์
ferrite,เฟอร์ไรต์
ferro-edenite,เฟร์โรอีเดไนต์
ferro-edenite,เฟร์โรอีเดไนต์
ferroglaucophane,เฟร์โรเกลาโคเฟน
ferroglaucophane,เฟร์โรเกลาโคเฟน
ferronatrite,เฟร์โรนาไทรต์
ferronatrite,เฟร์โรนาไทรต์
fibrolite,ไฟโบรไลต์
fibrolite,ไฟโบรไลต์
fiedlerite,ฟีเดลอไรต์
fiedlerite,ฟีเดลอไรต์
flint,ฟลินต์
flint,ฟลินต์
florencite,โฟลเรนไซต์
florencite,โฟลเรนไซต์
fluoborite,ฟลูโอบอไรต์
fluoborite,ฟลูโอบอไรต์
fluocerite,ฟลูโอซีไรต์
fluocerite,ฟลูโอซีไรต์
fluorapatite,ฟลูออร์อะพาไทต์
fluorapatite,ฟลูออร์อะพาไทต์
fluorite,ฟลูออไรต์
fluorite,ฟลูออไรต์
fluororichterite,ฟลูออโรริชเทอไรต์
fluororichterite,ฟลูออโรริชเทอไรต์
fluorspar,ฟลูออร์สปาร์
fluorspar,ฟลูออร์สปาร์
forsterite,ฟอร์สเตอไรต์
forsterite,ฟอร์สเตอไรต์
franckeite,แฟรงคีไอต์
franckeite,แฟรงคีไอต์
francolite,แฟรนโคไลต์
francolite,แฟรนโคไลต์
franklinite,แฟรงคลิไนต์
franklinite,แฟรงคลิไนต์
freibergite,ไฟรเบอร์ไกต์
